# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Delhi, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
873da1046ffffff,28.52567,77.34346,40,1050.4
873da1046ffffff,28.52567,77.34346,41,622.1
873da1050ffffff,28.48221,77.33704,0,205.6
873da1050ffffff,28.48221,77.33704,1,169.2
873da1050ffffff,28.48221,77.33704,2,158.1
873da1050ffffff,28.48221,77.33704,3,130.9
873da1050ffffff,28.48221,77.33704,4,140.5
873da1050ffffff,28.48221,77.33704,5,125.9
873da1050ffffff,28.48221,77.33704,6,111.0
873da1050ffffff,28.48221,77.33704,7,154.4
873da1050ffffff,28.48221,77.33704,8,126.2
873da1050ffffff,28.48221,77.33704,9,138.6
873da1050ffffff,28.48221,77.33704,10,184.4
873da1050ffffff,28.48221,77.33704,11,189.6
873da1050ffffff,28.48221,77.33704,12,207.6
873da1050ffffff,28.48221,77.33704,13,151.1
873da1050ffffff,28.48221,77.33704,14,146.2
873da1050ffffff,28.48221,77.33704,15,145.9
873da1050ffffff,28.48221,77.33704,16,222.1
873da1050ffffff,28.48221,77.33704,17,250.3
873da1050ffffff,28.48221,77.33704,18,130.3
873da1050ffffff,28.48221,77.33704,19,100.3
873da1050ffffff,28.48221,77.33704,20,126.8
873da1050ffffff,28.48221,77.33704,21,158.7
873da1050ffffff,28.48221,77.33704,22,197.8
873da1050ffffff,28.48221,77.33704,23,185.2
873da1050ffffff,28.48221,77.33704,24,203.2
873da1050ffffff,28.48221,77.33704,25,160.1
873da1050ffffff,28.48221,77.33704,26,848.6
873da1050ffffff,28.48221,77.33704,27,843.7
873da1050ffffff,28.48221,77.33704,28,894.8
873da1050ffffff,28.48221,77.33704,29,530.9
873da1050ffffff,28.48221,77.33704,30,149.1
873da1050ffffff,28.48221,77.33704,31,269.0
873da1050ffffff,28.48221,77.33704,32,130.1
873da1050ffffff,28.48221,77.33704,33,165.1
873da1050ffffff,28.48221,77.33704,34,190.9
873da1050ffffff,28.48221,77.33704,35,210.2
873da1050ffffff,28.48221,77.33704,36,202.5
873da1050ffffff,28.48221,77.33704,37,172.7
873da1050ffffff,28.48221,77.33704,38,671.3
873da1050ffffff,28.48221,77.33704,39,798.9
873da1050ffffff,28.48221,77.33704,40,1050.4
873da1050ffffff,28.48221,77.33704,41,622.1
873da1052ffffff,28.46049,77.33384,0,205.6
873da1052ffffff,28.46049,77.33384,1,169.2
873da1052ffffff,28.46049,77.33384,2,158.1
873da1052ffffff,28.46049,77.33384,3,130.9
873da1052ffffff,28.46049,77.33384,4,140.5
873da1052ffffff,28.46049,77.33384,5,125.9
873da1052ffffff,28.46049,77.33384,6,111.0
873da1052ffffff,28.46049,77.33384,7,154.4
873da1052ffffff,28.46049,77.33384,8,126.2
873da1052ffffff,28.46049,77.33384,9,138.6
873da1052ffffff,28.46049,77.33384,10,184.4
873da1052ffffff,28.46049,77.33384,11,189.6
873da1052ffffff,28.46049,77.33384,12,207.6
873da1052ffffff,28.46049,77.33384,13,151.1
873da1052ffffff,28.46049,77.33384,14,146.2
873da1052ffffff,28.46049,77.33384,15,145.9
873da1052ffffff,28.46049,77.33384,16,222.1
873da1052ffffff,28.46049,77.33384,17,250.3
873da1052ffffff,28.46049,77.33384,18,130.3
873da1052ffffff,28.46049,77.33384,19,100.3
873da1052ffffff,28.46049,77.33384,20,126.8
873da1052ffffff,28.46049,77.33384,21,158.7
873da1052ffffff,28.46049,77.33384,22,197.8
873da1052ffffff,28.46049,77.33384,23,185.2
